datedim,ims_id,id_parent,id_path,tree_depth,tree,part_number,serial_number,location_name,original_ip_owner,current_ip_owner,operational_nomenclature,russian_name,english_name,barcode,quantity,width,height,length,diameter,calculated_volume,stwg_ovrrd_vol,children_volume,stwg_ovrrd_chldrn_vol,ovrrd_notes,volume_notes,expire_date,launch,type,hazard,state,status,is_container,is_moveable,system,subsystem,action_date,move_date,fill_status,category_id,category_name
9/12/2022 9:01,448164,442166,/0/1311/442166/448164/,3,Storage Location,А8-9060-400,970969,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:00,,4,ACY Inserts
9/12/2022 9:01,448165,442166,/0/1311/442166/448165/,3,Storage Location,А8-9060-400,970965,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:00,,4,ACY Inserts
9/12/2022 9:01,448167,442166,/0/1311/442166/448167/,3,Storage Location,А8-9060-400,970956,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:00,,4,ACY Inserts
9/12/2022 9:01,448168,442166,/0/1311/442166/448168/,3,Storage Location,А8-9060-400,1070985,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:00,,4,ACY Inserts
9/12/2022 9:01,448189,442166,/0/1311/442166/448189/,3,Storage Location,А8-9060-400,1070983,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:27,,4,ACY Inserts
9/12/2022 9:01,448190,442166,/0/1311/442166/448190/,3,Storage Location,А8-9060-400,1070982,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:27,,4,ACY Inserts
9/12/2022 9:01,448192,442166,/0/1311/442166/448192/,3,Storage Location,А8-9060-400,970971,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:27,,4,ACY Inserts
9/12/2022 9:01,448193,442166,/0/1311/442166/448193/,3,Storage Location,А8-9060-400,970967,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:27,,4,ACY Inserts
9/12/2022 9:01,423044,365130,/0/215428/215452/215454/215578/365130/423044/,6,Storage Location,SEG48102042-901,C0094,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXC0094J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:26,7/6/2022 15:03,,6,Food
9/12/2022 9:01,423047,365130,/0/215428/215452/215454/215578/365130/423047/,6,Storage Location,SEG48102042-901,C0102,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXC0102J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:25,7/6/2022 15:03,,6,Food
9/12/2022 9:01,423048,365130,/0/215428/215452/215454/215578/365130/423048/,6,Storage Location,SEG48102042-901,C0096,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXC0096J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:26,7/6/2022 15:03,,6,Food
